ride_id,destination,date,time,driver_rating,seats_available,car_type,driver_name
1,Lake Gailmouth,2024-04-03,08:13:36,4.89,1,Van,Kathleen Jimenez
2,Tiffanyfort,2024-03-24,05:00:16,3.23,3,Sedan,Rita Mitchell
3,South Barry,2024-08-02,18:38:01,4.18,4,SUV,Allison Walsh
4,Jenniferfort,2024-08-26,19:06:44,3.55,4,Hatchback,Catherine Robertson
5,Alexandermouth,2024-03-27,01:40:27,3.73,3,Van,Eric Johnson
6,Racheltown,2024-04-24,23:32:51,3.93,4,Hatchback,Sandra Campbell
7,Oliverton,2024-01-03,12:10:09,4.64,2,Van,Troy Bryant
8,New Kenneth,2024-04-06,14:45:34,4.17,1,Hatchback,Theresa Conrad
9,North Richardstad,2024-03-17,12:58:24,3.15,2,SUV,William Acosta
10,Rodriguezstad,2024-07-06,23:05:53,3.94,3,SUV,David Price
11,Dylanbury,2024-01-25,21:30:24,4.83,2,Van,Brandon Stewart DDS
12,North Rodneyfort,2024-07-07,19:49:52,3.2,1,SUV,Paul King
13,Wesleybury,2024-04-10,01:27:32,3.1,4,SUV,Matthew Weiss
14,Lake Sierra,2024-06-12,04:25:22,4.1,1,Hatchback,Angel Simpson
15,Stanleyland,2024-02-12,22:10:01,4.85,3,Sedan,Dale Blevins
16,New Michael,2024-07-05,12:17:26,4.57,3,Hatchback,Kurt Ward
17,Hortonchester,2024-08-18,04:20:14,3.05,3,Sedan,Mrs. Lindsay Johnson MD
18,North Robert,2024-02-09,03:59:26,3.03,2,Sedan,Mr. Christopher Scott
19,Jamesmouth,2024-05-05,02:53:27,4.64,2,Van,Christina Robinson
20,Lake Stacy,2024-01-03,16:58:20,4.74,1,Sedan,Christopher Collins
21,Kennethshire,2024-01-06,12:47:10,3.99,1,Van,Jeffrey Clayton
22,South Charlesmouth,2024-04-18,03:11:01,4.37,2,Sedan,Ryan Moran
23,South William,2024-07-08,02:02:19,3.77,3,Van,Colin Jenkins
24,South Zoe,2024-02-17,02:52:01,4.18,3,Van,Nicole Smith
25,Port Teresa,2024-01-31,16:39:32,3.08,2,SUV,David Prince
26,Nicoleborough,2024-02-22,06:02:42,3.75,3,Van,John Smith
27,North Alexander,2024-05-11,11:44:34,3.57,3,SUV,Jessica Harris
28,Kiddburgh,2024-04-10,13:43:18,4.75,4,Van,Christopher Kelley
29,South Richard,2024-06-01,07:39:59,4.46,4,SUV,Jason Miller
30,West Kevin,2024-05-25,22:32:39,3.94,4,Van,Joseph Johnson
31,Scottbury,2024-04-27,05:13:05,4.2,3,Van,David Fleming
32,East Charles,2024-03-01,11:54:43,3.29,4,Van,Christopher Schmidt
33,Matthewchester,2024-06-06,19:46:05,3.93,3,Hatchback,Sandra Stanley DVM
34,Howardmouth,2024-02-03,20:02:57,3.13,3,Sedan,Amy Rivera
35,Blackwellberg,2024-04-10,09:04:24,4.94,1,Hatchback,Louis Mitchell
36,Darlenefurt,2024-07-24,22:50:51,4.95,1,SUV,Vanessa Abbott
37,Vickiemouth,2024-03-24,21:45:27,3.35,3,SUV,Gloria Sanchez
38,Martinside,2024-07-18,20:50:47,3.53,2,Hatchback,Clayton Martinez
39,Christineland,2024-01-14,04:40:41,4.16,3,Van,Amy Hart DDS
40,South Kristin,2024-08-19,06:44:40,4.14,2,Van,Philip Harrison
41,East Brian,2024-02-01,19:15:49,3.88,3,Hatchback,Angel Bush
42,North Sarah,2024-05-17,12:21:14,4.48,3,Sedan,James Ward
43,South Brittany,2024-06-17,23:22:23,4.42,3,SUV,Patricia Ray
44,Hickstown,2024-06-16,04:22:45,3.33,3,Van,Daniel Mitchell
45,North Jillian,2024-02-03,09:29:00,3.59,4,SUV,Wayne Pratt
46,Williamshaven,2024-05-09,04:59:15,3.41,2,Sedan,Jeffrey Lynn
47,New Maureenmouth,2024-07-18,11:08:53,4.33,2,Sedan,Gregory Barry
48,Jamieburgh,2024-03-23,12:13:37,4.82,4,Sedan,Timothy Garcia
49,Trujilloland,2024-05-20,01:09:05,3.32,1,Van,Tricia Rodriguez
50,South Tracybury,2024-02-20,19:35:01,3.14,4,Van,David Harvey
51,Gregorymouth,2024-01-09,06:04:39,3.87,3,Sedan,Amber Whitney
52,North Troymouth,2024-02-01,00:52:42,4.0,2,Sedan,Michael Williams
53,Johnside,2024-03-26,14:15:24,4.3,1,Van,Ronald Jackson
54,Curryshire,2024-04-12,11:40:47,4.8,1,SUV,Michelle Walker
55,Susanfurt,2024-07-30,01:03:59,4.08,1,Sedan,Courtney Garcia
56,West Scotthaven,2024-02-06,16:12:41,3.95,2,SUV,Stephen Wilson
57,Karenshire,2024-06-27,15:10:32,3.55,2,Hatchback,Alyssa Carey
58,Emmamouth,2024-05-13,16:33:51,3.11,4,Van,Elizabeth Wong
59,Ballborough,2024-08-01,23:57:04,3.66,2,Van,Steven Long
60,Lake Christopher,2024-01-31,18:57:22,3.13,1,Hatchback,Anthony Tyler
61,New Johnhaven,2024-07-03,14:09:20,4.25,3,Hatchback,Jeffrey Davis
62,New Lorraine,2024-03-14,21:20:09,4.04,1,SUV,Charles Scott
